generation,hypervolume,mean_speed,mean_safety,mean_smoothness,crash_rate,pareto_size,elapsed_s
1,31629.889985,7.3862,-7.0800,-2.0235,0.7080,8,93.7
2,32088.306335,6.7918,-5.1600,-1.1576,0.5160,6,173.8
3,33031.206882,5.8536,-3.6400,-1.7263,0.3640,7,274.6
4,33031.206882,6.2985,-3.5600,-3.0392,0.3560,7,361.9
5,33031.206882,8.5927,-4.8800,-5.5408,0.4880,8,465.2
6,33042.331556,8.9239,-4.8400,-6.3696,0.4840,9,552.9
7,33042.750564,9.8530,-4.8800,-7.4619,0.4880,11,649.0
8,33043.591406,9.8296,-4.6400,-8.1625,0.4640,12,752.0
9,33695.775274,10.4813,-5.0400,-7.5969,0.5040,12,848.9
10,33695.775274,10.7482,-5.1600,-6.8525,0.5160,12,936.5
11,33722.838115,10.5705,-4.8800,-7.4432,0.4880,12,1028.2
12,33722.838115,11.3623,-5.2400,-6.2269,0.5240,11,1137.9
13,33722.838115,11.4319,-5.2400,-6.0820,0.5240,11,1237.1
14,33765.281526,11.6602,-5.1600,-7.0038,0.5160,10,1334.8
15,33765.281526,11.8432,-5.2400,-7.0340,0.5240,10,1437.1
16,33765.281526,11.4424,-5.0800,-7.0277,0.5080,10,1550.5
17,33765.281526,11.2746,-4.9200,-6.9759,0.4920,10,1659.1
18,34011.781606,11.6419,-5.1600,-6.7725,0.5160,12,1754.5
19,34011.781606,11.4735,-4.9600,-7.3243,0.4960,12,1853.2
20,34011.781606,11.4579,-4.9600,-7.3138,0.4960,12,1956.5
21,34011.781606,11.3269,-4.9200,-7.4509,0.4920,12,2045.7
22,34011.781606,11.2678,-4.9200,-7.3809,0.4920,12,2146.8
23,34149.255338,11.0958,-4.6400,-7.6978,0.4640,14,2245.2
24,34289.166010,11.7122,-5.1200,-6.4730,0.5120,13,2331.8
25,34321.811996,12.1183,-5.2400,-6.3115,0.5240,14,2445.9
26,34322.099472,11.9380,-5.1200,-6.1646,0.5120,15,2546.7
27,34322.099472,12.0239,-5.0400,-7.3731,0.5040,16,2643.8
28,34322.950099,12.4240,-5.4000,-7.3789,0.5400,17,2746.6
29,34322.950099,12.6616,-5.6000,-6.9759,0.5600,17,2855.4
30,34322.950099,12.7355,-5.6000,-6.6955,0.5600,17,2961.1
31,34323.334034,12.6143,-5.4400,-7.0496,0.5440,17,3064.1
32,34323.625691,12.5222,-5.4000,-7.8226,0.5400,17,3174.8
33,34323.625691,12.2608,-5.2400,-8.3669,0.5240,17,3280.3
34,34323.625691,11.8695,-5.0000,-8.4346,0.5000,17,3380.9
35,34323.625691,11.8909,-5.0000,-7.7861,0.5000,17,3481.6
36,34323.625691,11.9347,-4.9600,-8.0141,0.4960,17,3596.4
37,34421.460480,12.3992,-5.0000,-9.1664,0.5000,19,3693.3
38,34421.460480,12.5740,-5.1200,-9.1670,0.5120,19,3800.8
39,34483.425637,12.7255,-5.1600,-7.8914,0.5160,19,3902.4
40,34483.425637,12.7555,-5.1600,-9.7653,0.5160,19,4014.3
41,34483.425637,12.8033,-5.3600,-8.8618,0.5360,19,4103.1
42,34483.425637,12.6500,-5.4400,-8.2572,0.5440,20,4203.2
43,34483.446136,12.8247,-5.4000,-8.5768,0.5400,21,4295.0
44,34486.546082,12.9936,-5.3600,-7.7229,0.5360,22,4390.3
45,34486.546082,13.0264,-5.3200,-7.0680,0.5320,22,4490.0
46,34486.546082,12.9176,-5.3600,-6.7859,0.5360,22,4578.5
47,34486.546082,12.8011,-5.2000,-7.8543,0.5200,22,4678.5
48,34486.546082,12.9777,-5.3200,-7.6787,0.5320,22,4786.6
49,34486.559370,13.0186,-5.4000,-7.6593,0.5400,23,4881.7
50,34486.559370,12.9827,-5.2400,-7.8657,0.5240,23,4964.1
51,34885.648107,13.3058,-5.3200,-7.0220,0.5320,24,5058.8
52,34903.607217,13.8549,-5.6800,-3.9028,0.5680,26,5159.1
53,34903.607217,13.7446,-5.6000,-3.8790,0.5600,26,5256.6
54,34903.607217,13.7696,-5.6000,-3.8964,0.5600,26,5352.7
55,34903.607217,13.8421,-5.6000,-3.9115,0.5600,26,5439.9
56,34903.607217,13.8876,-5.7200,-3.9987,0.5720,26,5544.3
57,34903.607217,13.8535,-5.6400,-5.0796,0.5640,26,5646.5
58,34903.607217,13.8664,-5.6400,-5.0976,0.5640,26,5744.1
59,34903.607217,13.8679,-5.6000,-5.3732,0.5600,26,5834.0
60,34903.607217,13.7776,-5.6000,-5.3672,0.5600,26,5930.3
61,34903.607217,13.9397,-5.6000,-5.4164,0.5600,26,6010.0
62,34903.607217,14.1991,-5.6800,-6.2275,0.5680,26,6099.2
63,34903.607217,13.4466,-5.2800,-6.0336,0.5280,26,6187.7
64,34903.607217,13.5076,-5.4800,-4.5998,0.5480,26,6287.2
65,34903.607217,13.7089,-5.4800,-5.4067,0.5480,26,6371.3
66,34903.607217,13.6207,-5.2800,-6.5898,0.5280,27,6468.7
67,34903.607217,14.2507,-5.6400,-5.8425,0.5640,27,6550.3
68,34903.607217,14.1053,-5.4400,-7.0400,0.5440,27,6643.5
69,34903.607217,14.1053,-5.4400,-7.0400,0.5440,27,6743.4
70,34903.607217,14.1053,-5.4400,-7.0400,0.5440,27,6838.0
71,34903.607217,14.1298,-5.4400,-7.5897,0.5440,27,6935.8
72,34903.607217,14.2197,-5.5200,-7.5816,0.5520,27,7022.9
73,34903.607217,14.2239,-5.5200,-7.5773,0.5520,27,7127.3
74,34903.607217,14.2239,-5.5200,-7.5773,0.5520,27,7220.6
75,35098.395331,13.4163,-5.0800,-7.5560,0.5080,22,7314.4
76,35099.003478,13.4540,-5.1600,-7.6117,0.5160,22,7403.6
77,35099.003478,13.4540,-5.1600,-7.6117,0.5160,22,7499.2
78,35099.003478,13.5699,-5.1600,-7.4880,0.5160,22,7597.6
79,35099.003478,13.3019,-5.0000,-8.1471,0.5000,22,7701.3
80,35109.344437,13.4063,-5.0800,-7.7625,0.5080,23,7801.5
81,35404.116935,13.6968,-5.0000,-8.6801,0.5000,22,7900.0
82,35404.116935,13.7806,-5.0000,-9.8375,0.5000,22,7997.1
83,35404.732231,13.5663,-4.9600,-9.8155,0.4960,23,8091.7
84,35404.732231,13.5663,-4.9600,-9.8155,0.4960,23,8194.6
85,35404.743187,13.2863,-4.8400,-9.8122,0.4840,24,8312.3
86,35405.829602,13.3416,-4.8400,-9.8084,0.4840,25,8421.3
87,35405.829602,13.3416,-4.8400,-9.8084,0.4840,25,8526.7
88,35405.829602,13.3416,-4.8400,-9.8084,0.4840,25,8626.8
89,35411.440013,13.4227,-4.9600,-8.4383,0.4960,25,8719.0
90,35411.440013,13.4227,-4.9600,-8.4383,0.4960,25,8818.6
91,35411.440992,13.2405,-4.9200,-7.2000,0.4920,26,8914.5
92,35411.440992,13.1154,-4.8000,-7.2147,0.4800,26,9012.2
93,35411.636033,12.9870,-4.7200,-7.2065,0.4720,27,9115.7
94,35434.666744,12.9683,-4.6400,-7.9950,0.4640,28,9203.3
95,35434.666744,12.9683,-4.6400,-7.9950,0.4640,28,9298.9
96,35434.822311,12.6854,-4.5600,-7.9896,0.4560,29,9396.5
97,35434.822311,12.6854,-4.5600,-7.9896,0.4560,29,9493.6
98,35434.822311,12.6267,-4.4800,-8.0158,0.4480,29,9578.4
99,35434.822311,12.6267,-4.4800,-8.0158,0.4480,29,9682.6
100,35434.822311,12.4546,-4.4800,-6.6452,0.4480,29,9773.8
101,35434.822311,12.6397,-4.5600,-6.6481,0.4560,29,9876.5
102,35435.893218,12.6709,-4.5200,-6.6467,0.4520,29,9974.9
103,35435.893218,12.6762,-4.4800,-6.6457,0.4480,29,10064.3
104,35435.893218,12.6762,-4.4800,-6.6457,0.4480,29,10158.4
105,35435.893218,12.6762,-4.4800,-6.6457,0.4480,29,10256.9
106,35435.893218,12.6858,-4.4800,-6.6387,0.4480,29,10354.5
107,35435.893218,12.4629,-4.4000,-6.1301,0.4400,30,10451.1
108,35436.474813,12.4415,-4.4000,-6.1272,0.4400,30,10549.9
109,35436.474813,12.4415,-4.4000,-6.1272,0.4400,30,10646.1
110,35436.642808,12.4323,-4.4000,-6.1114,0.4400,31,10740.5
111,35436.642808,12.5653,-4.4800,-6.1500,0.4480,31,10834.4
112,35436.647470,12.7410,-4.6000,-6.1107,0.4600,32,10928.2
113,35436.647470,12.3468,-4.4000,-6.1125,0.4400,32,11033.4
114,35475.097584,12.1083,-4.2400,-4.7422,0.4240,32,11129.0
115,35475.097584,12.1083,-4.2400,-4.7422,0.4240,32,11220.0
116,35475.097584,12.1083,-4.2400,-4.7422,0.4240,32,11300.2
117,35475.097584,12.1083,-4.2400,-4.7422,0.4240,32,11407.2
118,35475.202694,12.3011,-4.2400,-4.7451,0.4240,32,11491.4
119,35475.202694,12.3180,-4.2400,-4.7451,0.4240,32,11602.4
120,35475.202694,12.3180,-4.2400,-4.7451,0.4240,32,11704.2
121,35475.207641,12.4573,-4.2800,-4.7454,0.4280,33,11800.1
122,35475.207641,12.4573,-4.2800,-4.7454,0.4280,33,11897.1
123,35475.207641,12.4584,-4.2800,-4.7533,0.4280,33,12004.5
124,35475.207641,12.4584,-4.2800,-4.7533,0.4280,33,12110.5
125,35475.207641,12.4584,-4.2800,-4.7533,0.4280,33,12198.8
126,35475.207641,12.4584,-4.2800,-4.7533,0.4280,33,12287.3
127,35475.207641,12.4584,-4.2800,-4.7533,0.4280,33,12391.1
128,35475.207641,12.4584,-4.2800,-4.7533,0.4280,33,12486.1
129,35475.207641,12.4584,-4.2800,-4.7533,0.4280,33,12595.5
130,35477.261943,11.9450,-3.9600,-4.7834,0.3960,30,12699.9
131,35477.261943,11.9450,-3.9600,-4.7834,0.3960,30,12807.3
132,35477.261943,11.9450,-3.9600,-4.7834,0.3960,30,12922.3
133,35695.001563,12.0710,-4.0000,-4.7695,0.4000,28,13023.3
134,35695.001563,12.1650,-4.0000,-4.7695,0.4000,28,13109.1
135,35695.001563,11.9975,-3.9200,-4.7909,0.3920,28,13217.2
136,35695.001563,11.9984,-3.9200,-4.7909,0.3920,28,13326.5
137,35695.001563,11.9984,-3.9200,-4.7909,0.3920,28,13433.7
138,35695.001563,11.9984,-3.9200,-4.7909,0.3920,28,13527.1
139,35695.001563,11.9984,-3.9200,-4.7909,0.3920,28,13613.2
140,35695.001563,11.9984,-3.9200,-4.7909,0.3920,28,13701.1
141,35695.001563,11.9984,-3.9200,-4.7909,0.3920,28,13808.0
142,35695.001563,12.0042,-3.9200,-4.7909,0.3920,28,13922.9
143,35695.001563,12.0042,-3.9200,-4.7909,0.3920,28,14016.8
144,35695.001563,12.1293,-3.9600,-6.0996,0.3960,29,14109.1
145,35695.001563,12.1312,-3.9600,-6.1005,0.3960,29,14200.6
146,35695.001563,12.0495,-3.9200,-6.2933,0.3920,29,14309.4
147,35695.001563,12.0495,-3.9200,-6.2933,0.3920,29,14400.5
148,35695.001563,12.0495,-3.9200,-6.2933,0.3920,29,14491.2
149,35695.001563,12.0495,-3.9200,-6.2933,0.3920,29,14591.8
150,35695.001563,11.9373,-3.8000,-6.9468,0.3800,29,14694.5
151,35695.001563,11.9006,-3.8000,-6.9356,0.3800,29,14788.9
152,35695.001563,11.9006,-3.8000,-6.9356,0.3800,29,14880.4
153,35695.001563,12.2402,-4.0000,-7.0218,0.4000,27,14981.0
154,35695.001563,12.6482,-4.1600,-6.9526,0.4160,27,15081.1
155,35695.001563,12.4738,-3.9600,-7.6797,0.3960,27,15182.3
156,35695.001563,12.4738,-3.9600,-7.6797,0.3960,27,15285.8
157,35695.001563,12.5437,-3.9600,-8.2066,0.3960,27,15386.8
158,35695.001563,12.5437,-3.9600,-8.2066,0.3960,27,15489.3
159,35695.001563,12.3886,-3.8800,-8.8010,0.3880,27,15578.6
160,35695.001563,12.3886,-3.8800,-8.8010,0.3880,27,15671.1
161,35695.001563,12.4286,-3.8800,-8.7999,0.3880,27,15765.7
162,35695.001563,12.4286,-3.8800,-8.7999,0.3880,27,15872.5
163,35695.001563,12.4286,-3.8800,-8.7999,0.3880,27,15974.3
164,35695.001563,12.4286,-3.8800,-8.7999,0.3880,27,16074.9
165,35695.001563,12.4286,-3.8800,-8.7999,0.3880,27,16183.4
166,35695.001563,12.4286,-3.8800,-8.7999,0.3880,27,16286.5
167,35695.001563,12.4286,-3.8800,-8.7999,0.3880,27,16397.4
168,35695.001563,12.4286,-3.8800,-8.7999,0.3880,27,16495.9
169,35695.001563,12.4286,-3.8800,-8.7999,0.3880,27,16592.1
170,35695.001563,12.4286,-3.8800,-8.7999,0.3880,27,16696.7
171,35695.001563,12.4286,-3.8800,-8.7999,0.3880,27,16813.5
172,35695.001563,12.4286,-3.8800,-8.7999,0.3880,27,16914.6
173,35700.153338,12.4183,-3.8800,-8.1521,0.3880,28,17018.0
174,35700.153338,12.4183,-3.8800,-8.1521,0.3880,28,17118.5
175,35700.153338,12.4801,-3.8800,-8.5540,0.3880,28,17213.2
176,35700.153338,12.4801,-3.8800,-8.5540,0.3880,28,17308.9
177,35700.153338,12.4920,-3.8800,-8.5629,0.3880,28,17409.5
178,35701.185845,12.5176,-3.8800,-8.5577,0.3880,28,17508.9
179,35701.185845,12.5232,-3.8800,-8.5586,0.3880,28,17610.8
180,35701.185845,12.5232,-3.8800,-8.5586,0.3880,28,17705.6
181,35701.185845,12.5232,-3.8800,-8.5586,0.3880,28,17802.8
182,35701.185845,12.5232,-3.8800,-8.5586,0.3880,28,17903.4
183,35701.185845,12.5232,-3.8800,-8.5586,0.3880,28,18004.4
184,35701.185845,12.5232,-3.8800,-8.5586,0.3880,28,18098.9
185,35701.211100,12.8595,-4.0400,-8.5516,0.4040,29,18208.9
186,35701.211100,12.8595,-4.0400,-8.5516,0.4040,29,18304.2
187,35701.211100,12.8595,-4.0400,-8.5516,0.4040,29,18400.4
188,36556.795562,12.9187,-3.9600,-8.5290,0.3960,29,18498.4
189,36556.795562,12.9187,-3.9600,-8.5290,0.3960,29,18599.1
190,36556.795562,12.9187,-3.9600,-8.5290,0.3960,29,18694.4
191,36556.795562,12.9187,-3.9600,-8.5290,0.3960,29,18786.7
192,36556.795562,12.9187,-3.9600,-8.5290,0.3960,29,18879.4
193,36556.795562,12.9187,-3.9600,-8.5290,0.3960,29,18990.3
194,36556.795562,12.9187,-3.9600,-8.5290,0.3960,29,19073.9
195,36556.795562,12.9187,-3.9600,-8.5290,0.3960,29,19174.7
196,36556.795562,12.9187,-3.9600,-8.5290,0.3960,29,19278.0
197,36556.795562,12.9187,-3.9600,-8.5290,0.3960,29,19383.0
198,36556.795562,12.9187,-3.9600,-8.5290,0.3960,29,19486.7
199,36556.795562,12.9187,-3.9600,-8.5290,0.3960,29,19566.1
200,36556.795562,12.9339,-3.9600,-8.5243,0.3960,29,19670.0
201,36556.795562,12.9339,-3.9600,-8.5243,0.3960,29,19765.8
202,36556.795562,12.9339,-3.9600,-8.5243,0.3960,29,19854.8
